Gene	HPV_positive_rates	HPV_negative_rates
ADAD2	1.057267e-06	1.57711e-06
ADAL	1.749863e-06	1.427826e-06
ADAM10	1.741255e-06	5.962875e-07
ADAM11	1.826715e-06	2.264279e-06
ADAM12	1.830421e-06	3.45373e-06
ADAM15	2.219562e-06	1.874298e-06
ADAM17	8.063326e-07	2.701383e-06
ADAM18	1.150219e-06	2.569246e-06
ADAM19	5.790269e-07	8.224388e-07
ADAM2	8.413627e-07	1.845028e-06
ADAM20	1.558059e-06	1.719648e-06
ADAM21	9.237967e-07	6.682625e-07
ADAM22	9.00432e-07	1.203612e-06
ADAM23	1.607894e-06	1.609924e-06
ADAM28	1.810463e-06	1.609067e-06
ADAM29	1.916777e-06	5.531713e-06
ADAM30	1.744254e-06	2.134874e-06
ADAM32	1.391549e-06	2.838637e-06
ADAM33	1.074253e-06	1.09424e-06
ADAM7	1.8407e-06	2.64014e-06
ADAM8	1.193782e-06	1.943165e-06
ADAM9	3.470487e-07	1.854442e-06
ADAMDEC1	1.789615e-06	2.958617e-06
ADAMTS1	3.28999e-06	2.428213e-06
ADAMTS10	9.150765e-07	7.787838e-07
ADAMTS12	1.908771e-06	4.758144e-06
ADAMTS13	1.14676e-06	1.478824e-06
ADAMTS14	1.272075e-06	2.613707e-06
ADAMTS15	0	4.575651e-07
ADAMTS16	1.914318e-06	2.868428e-06
ADAMTS17	0	2.304082e-06
ADAMTS18	1.320748e-06	7.400233e-06
ADAMTS19	1.614817e-06	4.718349e-06
ADAMTS2	1.594362e-06	2.357281e-06
ADAMTS20	2.385246e-06	4.057512e-06
ADAMTS3	4.249451e-07	1.646448e-06
ADAMTS4	2.003976e-06	2.156902e-06
ADAMTS5	3.037995e-06	2.917867e-06
ADAMTS6	5.136724e-07	1.108315e-06
ADAMTS7	1.367262e-06	1.255092e-06
ADAMTS8	2.150944e-06	2.629109e-06
ADAMTS9	1.126228e-06	3.651671e-07
ADAMTSL1	1.045171e-06	1.711316e-06
ADAMTSL2	1.477134e-06	1.610431e-06
ADAMTSL3	1.020257e-06	2.510524e-06
ADAMTSL4	2.004322e-06	4.100028e-07
ADAMTSL5	6.537839e-07	1.800442e-06
ADAP1	8.924476e-07	1.638463e-06
ADAP2	1.316416e-06	3.371671e-06
ADAR	7.907439e-07	5.137384e-07
ADARB1	5.950953e-07	1.608473e-06
ADARB2	0	2.57795e-06
ADAT1	8.9911e-07	1.375578e-06
ADAT2	1.671277e-06	1.917707e-06
ADAT3	0	3.506436e-07
ADC	2.18064e-06	2.168553e-06
ADCK1	5.014186e-07	2.109627e-06
ADCK2	2.166428e-07	1.230463e-06
ADCK4	1.802918e-06	5.473451e-07
ADCK5	1.247144e-06	1.526438e-06
ADCY1	9.820269e-07	3.189492e-06
ADCY10	9.963566e-07	2.527334e-06
ADCY2	3.699738e-06	7.232378e-06
ADCY3	8.163399e-07	2.831794e-06
ADCY4	0	0
ADCY5	1.309902e-06	1.002031e-06
ADCY6	1.04394e-06	1.590219e-06
ADCY7	8.570016e-07	1.748207e-06
ADCY8	3.484722e-06	2.466532e-06
ADCY9	0	1.509699e-06
ADCYAP1	9.046522e-07	1.145889e-05
ADCYAP1R1	1.052086e-06	1.748508e-06
ADD1	1.474129e-06	1.804256e-06
