gene	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	r_x_X	r_n_N	r_nns_Nns	r_ns_Ns	r_nnc_Nnc	r_nsnc_Nsnc
ADSL	1519693	410774	0	1	2	0	50	36	18855039	1.909304e-06	1.554028e-06	6.580276e-07	4.868857e-06	NaN	4.868857e-06
ADSS	1436428	381311	0	4	1	0	47	16	23543926	6.795808e-07	2.750670e-06	2.784685e-06	2.622531e-06	NaN	2.622531e-06
ADSSL1	1726788	513681	0	3	0	0	17	19	7089908	2.679866e-06	1.339005e-06	1.737330e-06	0	NaN	0
AEBP1	3548370	1008147	0	5	0	0	7	2	4167520	4.799017e-07	1.097329e-06	1.409098e-06	0	NaN	0
AEBP2	1603812	432978	0	0	0	0	1	0	511973	0	0	0	0	NaN	0
AEN	974414	293776	0	0	2	0	13	12	4366929	2.747927e-06	1.577051e-06	0	6.807908e-06	NaN	6.807908e-06
AES	847595	241255	0	1	0	0	33	21	10432037	2.013030e-06	9.184001e-07	1.179809e-06	0	NaN	0
AFAP1	2504782	714371	0	3	1	0	8	10	5124000	1.951600e-06	1.242563e-06	1.197709e-06	1.399833e-06	NaN	1.399833e-06
AFAP1L1	2388638	658861	0	2	0	0	15	7	6086885	1.150014e-06	6.562759e-07	8.372972e-07	0	NaN	0
AFAP1L2	2541504	698145	0	1	1	0	50	43	30763642	1.397754e-06	6.173508e-07	3.934678e-07	1.432367e-06	NaN	1.432367e-06
AFF1	3754611	1056825	0	6	1	0	1	2	1604239	1.246697e-06	1.454867e-06	1.598035e-06	9.462305e-07	NaN	9.462305e-07
AFF2	4085536	1129415	0	14	3	0	2	6	2001776	2.997338e-06	3.259858e-06	3.426723e-06	2.656242e-06	NaN	2.656242e-06
AFF3	3859653	1069635	0	15	7	0	12	21	5621028	3.735971e-06	4.463119e-06	3.886360e-06	6.544288e-06	NaN	6.544288e-06
AFF4	3611139	964593	0	3	1	0	1	1	1033340	9.677357e-07	8.741771e-07	8.307628e-07	1.036707e-06	NaN	1.036707e-06
AFG3L2	2460801	687897	0	2	0	0	29	17	16016770	1.061388e-06	6.351832e-07	8.127435e-07	0	NaN	0
AFM	1925343	454755	0	2	1	0	50	91	28984760	3.139581e-06	1.260452e-06	1.038776e-06	2.198986e-06	NaN	2.198986e-06
AFMID	982527	261324	0	3	0	0	32	20	11220279	1.782487e-06	2.411864e-06	3.053351e-06	0	NaN	0
AFP	1935164	483364	0	1	1	0	50	90	28020167	3.211972e-06	8.269493e-07	5.167521e-07	2.068834e-06	NaN	2.068834e-06
AFTPH	2880969	769881	0	7	0	0	9	1	3329746	3.003232e-07	1.917362e-06	2.429738e-06	0	NaN	0
AG2	360388	112301	0	0	0	0	50	94	47664729	1.972108e-06	0	0	0	NaN	0
AGA	1081591	292922	0	0	0	0	7	3	2695651	1.112904e-06	0	0	0	NaN	0
AGAP1	2626477	757925	0	5	2	0	12	17	6501929	2.614609e-06	2.068312e-06	1.903691e-06	2.638784e-06	NaN	2.638784e-06
AGAP11	1661030	476959	0	0	0	0	1	0	727608	0	0	0	0	NaN	0
AGAP2	3663660	1223355	0	3	1	0	16	12	7533134	1.592963e-06	8.184955e-07	8.188533e-07	8.174242e-07	NaN	8.174242e-07
AGAP3	2806671	871080	0	5	4	0	30	18	13506437	1.332698e-06	2.447148e-06	1.781470e-06	4.592001e-06	NaN	4.592001e-06
AGAP4	2015867	566629	0	3	2	0	50	34	23769382	1.430412e-06	1.936111e-06	1.488193e-06	3.529646e-06	NaN	3.529646e-06
AGAP5	2095716	582855	0	4	0	0	50	94	48135283	1.952829e-06	1.493334e-06	1.908656e-06	0	NaN	0
AGAP6	2096143	579866	0	3	1	0	50	95	48132294	1.973727e-06	1.494763e-06	1.431200e-06	1.724536e-06	NaN	1.724536e-06
AGAP7	2015867	566629	0	0	0	0	43	23	27070519	8.496328e-07	0	0	0	NaN	0
AGAP8	2019283	563213	0	0	0	0	43	23	27070519	8.496328e-07	0	0	0	NaN	0
AGBL1	3322060	896273	0	14	1	0	3	3	2126033	1.411079e-06	3.555907e-06	4.214253e-06	1.115731e-06	NaN	1.115731e-06
AGBL2	2845101	714798	0	6	0	0	9	6	4948930	1.212383e-06	1.685441e-06	2.108888e-06	0	NaN	0
AGBL3	2902746	718641	0	0	0	0	1	1	1195173	8.366990e-07	0	0	0	NaN	0
AGBL4	1599969	403515	0	0	0	0	3	10	2954840	3.384278e-06	0	0	0	NaN	0
AGBL5	2734508	829234	0	5	1	0	9	10	5130832	1.949002e-06	1.683624e-06	1.828482e-06	1.205932e-06	NaN	1.205932e-06
