gene	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	r_x_X	r_n_N	r_nns_Nns	r_ns_Ns	r_nnc_Nnc	r_nsnc_Nsnc
NTN5	1438136	475678	0	2	0	0	12	6	5176094	1.159175e-06	1.045034e-06	1.390689e-06	0	NaN	0
NTNG1	1795535	482083	0	3	1	0	50	83	22832117	3.635230e-06	1.756221e-06	1.670811e-06	2.074332e-06	NaN	2.074332e-06
NTNG2	1611071	460306	0	0	1	0	50	52	22129702	2.349783e-06	4.827706e-07	0	2.172468e-06	NaN	2.172468e-06
NTRK1	2629893	783972	0	3	1	0	8	7	3763578	1.859932e-06	1.171692e-06	1.140731e-06	1.275556e-06	NaN	1.275556e-06
NTRK2	2691808	710528	0	3	1	0	50	33	27472326	1.201209e-06	1.175663e-06	1.114493e-06	1.407404e-06	NaN	1.407404e-06
NTRK3	2878407	775005	0	11	5	0	4	11	2790018	3.942627e-06	4.379468e-06	3.821558e-06	6.451571e-06	NaN	6.451571e-06
NTS	544852	127673	0	1	0	0	50	74	23400881	3.162274e-06	1.486934e-06	1.835361e-06	0	NaN	0
NTSR1	1228479	397110	0	2	0	0	50	50	29140188	1.715843e-06	1.230323e-06	1.628029e-06	0	NaN	0
NTSR2	1187487	409920	0	5	1	0	50	34	24233104	1.403039e-06	3.756087e-06	4.210572e-06	2.439500e-06	NaN	2.439500e-06
NUAK1	2000922	573888	0	1	3	0	9	11	5406674	2.034523e-06	1.553513e-06	4.997696e-07	5.227501e-06	NaN	5.227501e-06
NUAK2	1873676	574315	0	4	1	0	0	1	574315	1.741205e-06	2.042491e-06	2.134841e-06	1.741205e-06	NaN	1.741205e-06
NUB1	1900577	484645	0	2	0	0	29	17	13177220	1.290105e-06	8.384964e-07	1.052312e-06	0	NaN	0
NUBP1	1020957	266448	0	1	1	0	50	27	21978544	1.228471e-06	1.553513e-06	9.794732e-07	3.753078e-06	NaN	3.753078e-06
NUBP2	821548	257054	0	2	1	0	5	4	1982988	2.017158e-06	2.781378e-06	2.434429e-06	3.890233e-06	NaN	3.890233e-06
NUBPL	1000461	283101	0	0	0	0	50	51	22818026	2.235075e-06	0	0	0	NaN	0
NUCB1	1442406	394548	0	2	0	0	8	9	3534279	2.546488e-06	1.088759e-06	1.386572e-06	0	NaN	0
NUCB2	1388177	289933	0	1	0	0	50	17	16975812	1.001425e-06	5.959085e-07	7.203692e-07	0	NaN	0
NUCKS1	786961	181475	0	1	0	0	37	23	16302006	1.410869e-06	1.032593e-06	1.270711e-06	0	NaN	0
NUDC	1053836	263032	0	1	1	0	50	23	15965530	1.440604e-06	1.518755e-06	9.489143e-07	3.801819e-06	NaN	3.801819e-06
NUDCD1	1865990	469273	0	1	1	0	50	23	18443838	1.247029e-06	8.564346e-07	5.359086e-07	2.130956e-06	NaN	2.130956e-06
NUDCD2	492331	132797	0	0	0	0	50	36	17840487	2.017882e-06	0	0	0	NaN	0
NUDCD3	1114043	302743	0	1	0	0	50	30	23380385	1.283127e-06	7.058229e-07	8.976314e-07	0	NaN	0
NUDT1	573461	146461	0	2	0	0	50	55	26172111	2.101474e-06	2.778079e-06	3.487595e-06	0	NaN	0
NUDT10	500871	144753	0	0	2	0	3	5	1230187	4.064423e-06	3.097778e-06	0	1.381664e-05	NaN	1.381664e-05
NUDT11	495747	144753	0	2	0	0	50	38	23826600	1.594856e-06	3.122560e-06	4.034316e-06	0	NaN	0
NUDT12	1430023	380030	0	4	0	0	50	7	27314336	2.562757e-07	2.209880e-06	2.797158e-06	0	NaN	0
NUDT13	1099098	298473	0	1	0	0	50	34	26862997	1.265682e-06	7.155272e-07	9.098370e-07	0	NaN	0
NUDT14	665693	214354	0	0	0	0	50	41	24691275	1.660506e-06	0	0	0	NaN	0
NUDT15	506849	137494	0	0	0	0	50	43	20975094	2.050050e-06	0	0	0	NaN	0
NUDT16	937265	314272	0	0	0	0	50	35	21263746	1.645994e-06	0	0	0	NaN	0
NUDT16L1	621285	206241	0	1	0	0	50	22	19894784	1.105817e-06	1.208421e-06	1.609567e-06	0	NaN	0
NUDT17	986370	321531	0	0	0	0	50	10	26963342	3.708739e-07	0	0	0	NaN	0
NUDT18	944097	313845	0	0	1	0	50	30	16582972	1.809085e-06	7.949492e-07	0	3.186286e-06	NaN	3.186286e-06
NUDT19	1099098	356118	0	3	0	0	50	39	20878592	1.867942e-06	2.061550e-06	2.729511e-06	0	NaN	0
NUDT2	457744	121268	0	1	0	0	50	41	24028998	1.706272e-06	1.727080e-06	2.184627e-06	0	NaN	0
NUDT21	716079	190869	0	2	0	0	50	34	20642461	1.647090e-06	2.205198e-06	2.792988e-06	0	NaN	0
NUDT22	893711	302743	0	3	0	0	50	18	19528418	9.217336e-07	2.507409e-06	3.356790e-06	0	NaN	0
NUDT3	543144	142191	0	0	0	0	50	43	27009031	1.592060e-06	0	0	0	NaN	0
NUDT4	565775	154147	0	1	1	0	28	13	9761220	1.331801e-06	2.778079e-06	1.767487e-06	6.487314e-06	NaN	6.487314e-06
NUDT5	712236	179340	0	2	0	0	50	20	12398372	1.613115e-06	2.243219e-06	2.808058e-06	0	NaN	0
NUDT6	959469	281820	0	0	1	0	50	26	20634775	1.260009e-06	8.056142e-07	0	3.548364e-06	NaN	3.548364e-06
NUDT7	728462	207949	0	2	0	0	50	39	22668149	1.720476e-06	2.135814e-06	2.745510e-06	0	NaN	0
NUDT8	403942	150731	0	0	1	0	41	32	16836183	1.900668e-06	1.802864e-06	0	6.634335e-06	NaN	6.634335e-06
NUDT9	1099098	285663	0	1	1	0	3	6	1696471	3.536754e-06	1.444293e-06	9.098370e-07	3.500628e-06	NaN	3.500628e-06
NUF2	1509018	344589	0	2	2	0	13	17	7109123	2.391294e-06	2.157955e-06	1.325365e-06	5.804016e-06	NaN	5.804016e-06
NUFIP1	1562393	392413	0	1	1	0	50	39	24730132	1.577024e-06	1.023119e-06	6.400438e-07	2.548336e-06	NaN	2.548336e-06
NUFIP2	2114504	578158	0	3	0	0	6	1	2337398	4.278262e-07	1.114139e-06	1.418772e-06	0	NaN	0
NUMA1	6391336	1868552	0	14	2	0	4	3	3828909	7.835130e-07	1.937072e-06	2.190465e-06	1.070348e-06	NaN	1.070348e-06
NUMB	1976583	580293	0	3	0	0	45	17	20026727	8.488656e-07	1.173307e-06	1.517771e-06	0	NaN	0
NUMBL	1804929	585417	0	1	1	0	6	6	2898476	2.070053e-06	8.366990e-07	5.540384e-07	1.708184e-06	NaN	1.708184e-06
NUP107	2953559	743407	0	2	1	0	6	8	4295193	1.862547e-06	8.114762e-07	6.771492e-07	1.345158e-06	NaN	1.345158e-06
NUP133	3599183	977830	0	5	0	0	0	0	977830	0	1.092416e-06	1.389204e-06	0	NaN	0
NUP153	4450194	1329678	0	4	3	0	21	16	9400405	1.702054e-06	1.211099e-06	8.988372e-07	2.256185e-06	NaN	2.256185e-06
NUP155	4365648	1163148	0	7	1	0	9	4	2867732	1.394830e-06	1.446970e-06	1.603427e-06	8.597358e-07	NaN	8.597358e-07
NUP160	4491613	1212680	0	5	1	0	34	19	15053885	1.262133e-06	1.051839e-06	1.113186e-06	8.246199e-07	NaN	8.246199e-07
NUP188	5401123	1547021	0	4	2	0	3	4	2631601	1.519987e-06	8.635400e-07	7.405867e-07	1.292807e-06	NaN	1.292807e-06
NUP205	6245302	1708427	0	9	0	0	0	0	1708427	0	1.131545e-06	1.441083e-06	0	NaN	0
NUP210	5705147	1752835	0	6	3	0	41	52	28210609	1.843278e-06	1.206761e-06	1.051682e-06	1.711513e-06	NaN	1.711513e-06
NUP210L	5812324	1649501	0	4	4	0	0	4	1649501	2.424976e-06	1.072124e-06	6.881929e-07	2.424976e-06	NaN	2.424976e-06
NUP214	6229930	1985123	0	9	0	0	0	0	1985123	0	1.095550e-06	1.444639e-06	0	NaN	0
NUP35	1014125	284809	0	1	0	0	50	38	21785540	1.744276e-06	7.698621e-07	9.860717e-07	0	NaN	0
NUP37	1034621	265594	0	1	1	0	50	42	21045549	1.995671e-06	1.538207e-06	9.665375e-07	3.765145e-06	NaN	3.765145e-06
NUP43	1184925	317688	0	1	0	0	50	44	28070980	1.567455e-06	6.655074e-07	8.439353e-07	0	NaN	0
NUP50	1441552	396683	0	1	3	0	0	3	396683	7.562714e-06	2.176000e-06	6.936968e-07	7.562714e-06	NaN	7.562714e-06
NUP54	1576911	431697	0	3	1	0	50	34	21569478	1.576301e-06	1.991429e-06	1.902454e-06	2.316440e-06	NaN	2.316440e-06
NUP62	1498343	516670	0	4	2	0	16	13	7470792	1.740110e-06	2.977648e-06	2.669616e-06	3.870943e-06	NaN	3.870943e-06
NUP62CL	590541	156282	0	0	1	0	50	35	22069495	1.585899e-06	1.339005e-06	0	6.398690e-06	NaN	6.398690e-06
NUP85	2066680	552965	0	1	1	0	6	5	2519727	1.984342e-06	7.634622e-07	4.838678e-07	1.808433e-06	NaN	1.808433e-06
NUP88	2312632	623420	0	5	1	0	19	24	10713003	2.240268e-06	2.043561e-06	2.162039e-06	1.604055e-06	NaN	1.604055e-06
NUP93	2562427	696437	0	5	5	0	17	13	4486916	2.897313e-06	3.068554e-06	1.951275e-06	7.179400e-06	NaN	7.179400e-06
NUP98	5575339	1599542	0	3	1	0	0	1	1599542	6.251790e-07	5.575005e-07	5.380839e-07	6.251790e-07	NaN	6.251790e-07
NUPL1	1826279	556381	0	1	2	0	41	33	18062100	1.827030e-06	1.259097e-06	5.475615e-07	3.594659e-06	NaN	3.594659e-06
NUPL2	1292956	367220	0	0	0	0	50	30	23200618	1.293069e-06	0	0	0	NaN	0
NUPR1	304024	94367	0	1	0	0	30	22	15889524	1.384560e-06	2.510097e-06	3.289214e-06	0	NaN	0
NUS1	895846	254492	0	0	0	0	50	52	24399207	2.131217e-06	0	0	0	NaN	0
NUSAP1	1383480	366366	0	1	1	0	26	38	14436443	2.632227e-06	1.142958e-06	7.228149e-07	2.729511e-06	NaN	2.729511e-06
NUTF2	420595	91805	0	1	0	0	50	37	22016974	1.680522e-06	1.951600e-06	2.377584e-06	0	NaN	0
NVL	2674301	734440	0	4	0	0	50	23	21510552	1.069243e-06	1.173454e-06	1.495718e-06	0	NaN	0
NWD1	4261887	1310463	0	5	2	0	50	28	22397004	1.250167e-06	1.256202e-06	1.173189e-06	1.526178e-06	NaN	1.526178e-06
NXF1	2010743	542290	0	5	1	0	31	18	14000903	1.285631e-06	2.350146e-06	2.486643e-06	1.844032e-06	NaN	1.844032e-06
NXF2	4056500	977830	0	0	0	0	13	9	8083964	1.113315e-06	0	0	0	NaN	0
NXF2B	4056500	977830	0	0	0	0	1	1	2078636	4.810847e-07	0	0	0	NaN	0
NXF3	1733193	411201	0	5	1	0	50	41	24052483	1.704606e-06	2.797993e-06	2.884849e-06	2.431901e-06	NaN	2.431901e-06
NXF5	1186206	288225	0	5	1	0	24	16	8753500	1.827840e-06	4.069366e-06	4.215119e-06	3.469512e-06	NaN	3.469512e-06
NXN	1314733	399245	0	1	0	0	50	15	16571443	9.051716e-07	5.834381e-07	7.606107e-07	0	NaN	0
NXNL1	626836	199409	0	1	0	0	50	30	22904707	1.309774e-06	1.210295e-06	1.595314e-06	0	NaN	0
NXNL2	570472	180194	0	1	0	0	50	24	28772114	8.341410e-07	1.332150e-06	1.752934e-06	0	NaN	0
NXPH1	828807	221613	0	5	2	0	6	26	4123539	6.305264e-06	6.664001e-06	6.032768e-06	9.024741e-06	NaN	9.024741e-06
NXPH2	798063	225456	0	1	1	0	50	65	23974342	2.711232e-06	1.954043e-06	1.253034e-06	4.435455e-06	NaN	4.435455e-06
NXPH3	753655	223748	0	4	0	0	50	26	17225607	1.509381e-06	4.092478e-06	5.307468e-06	0	NaN	0
NXPH4	892857	299754	0	1	1	0	50	46	26671274	1.724702e-06	1.676993e-06	1.120000e-06	3.336069e-06	NaN	3.336069e-06
NXT1	430416	116571	0	0	0	0	50	27	19418679	1.390414e-06	0	0	0	NaN	0
NXT2	624701	159271	0	0	1	0	8	8	4700416	1.701977e-06	1.275556e-06	0	6.278607e-06	NaN	6.278607e-06
NYNRIN	5568080	1770769	0	13	2	0	6	6	5253808	1.142029e-06	2.043917e-06	2.334737e-06	1.129453e-06	NaN	1.129453e-06
NYX	1350174	507276	0	1	0	0	3	3	1766499	1.698274e-06	5.383725e-07	7.406453e-07	0	NaN	0
OAF	816851	251503	0	0	0	0	50	41	21048965	1.947839e-06	0	0	0	NaN	0
OAS1	1440698	375760	0	5	0	0	50	45	25473966	1.766509e-06	2.752610e-06	3.470540e-06	0	NaN	0
OAS2	2307935	615307	0	2	2	0	50	44	29007391	1.516855e-06	1.368344e-06	8.665755e-07	3.250410e-06	NaN	3.250410e-06
OAS3	3287046	973560	0	2	0	0	7	5	6054860	8.257829e-07	4.694168e-07	6.084490e-07	0	NaN	0
OASL	1596553	410774	0	1	0	0	50	32	28278929	1.131585e-06	4.981749e-07	6.263494e-07	0	NaN	0
OAT	1353590	383446	0	0	0	0	50	32	24130624	1.326116e-06	0	0	0	NaN	0
OAZ1	699426	204960	0	2	0	0	50	27	21310289	1.266994e-06	2.211445e-06	2.859488e-06	0	NaN	0
OAZ2	587125	164822	0	0	1	0	8	5	3447598	1.450285e-06	1.329881e-06	0	6.067151e-06	NaN	6.067151e-06
OAZ3	857843	247660	0	0	0	0	50	30	20556634	1.459383e-06	0	0	0	NaN	0
OBFC1	1170834	293349	0	1	0	0	9	10	6253415	1.599126e-06	6.829747e-07	8.540920e-07	0	NaN	0
OBFC2A	645624	167811	0	2	0	0	50	40	25774574	1.551917e-06	2.458709e-06	3.097778e-06	0	NaN	0
OBFC2B	655445	190015	0	0	0	0	50	23	22804789	1.008560e-06	0	0	0	NaN	0
OBP2A	546987	142191	0	2	0	0	50	49	20297018	2.414148e-06	2.902008e-06	3.656394e-06	0	NaN	0
OBP2B	549549	139629	0	1	0	0	50	45	24158379	1.862708e-06	1.451004e-06	1.819674e-06	0	NaN	0
OBSCN	24889403	7818370	0	30	12	0	12	17	13458613	1.263132e-06	1.284098e-06	1.205332e-06	1.534847e-06	NaN	1.534847e-06
OBSL1	5695326	1886913	0	7	4	0	9	12	5925052	2.025299e-06	1.450759e-06	1.229078e-06	2.119865e-06	NaN	2.119865e-06
OC90	1494073	409493	0	0	0	0	50	67	27208013	2.462510e-06	0	0	0	NaN	0
OCA2	2567978	774151	0	8	4	0	20	39	8324365	4.685042e-06	3.590526e-06	3.115291e-06	5.166951e-06	NaN	5.166951e-06
OCEL1	802760	243817	0	1	1	0	50	38	23448705	1.620559e-06	1.910992e-06	1.245702e-06	4.101437e-06	NaN	4.101437e-06
OCIAD1	838628	196420	0	0	0	0	50	15	14271194	1.051068e-06	0	0	0	NaN	0
OCIAD2	512827	116144	0	0	0	0	50	22	17801203	1.235872e-06	0	0	0	NaN	0
OCLM	138775	34160	0	0	0	0	0	0	34160	0	0	0	0	NaN	0
OCLN	1622600	428281	0	0	0	0	4	3	1635410	1.834402e-06	0	0	0	NaN	0
OCM	357826	82838	0	0	0	0	50	38	25399668	1.496083e-06	0	0	0	NaN	0
OCM2	355691	82411	0	1	1	0	3	7	1756251	3.985763e-06	4.565147e-06	2.811429e-06	1.213430e-05	NaN	1.213430e-05
OCRL	2869867	714371	0	4	1	0	9	12	4254201	2.820741e-06	1.394997e-06	1.393793e-06	1.399833e-06	NaN	1.399833e-06
ODAM	890722	239120	0	3	1	0	50	89	24486315	3.634683e-06	3.540318e-06	3.368054e-06	4.182001e-06	NaN	4.182001e-06
ODC1	1447530	379176	0	3	1	0	38	24	13632829	1.760456e-06	2.189734e-06	2.072496e-06	2.637298e-06	NaN	2.637298e-06
ODF1	768173	201544	0	2	2	0	4	10	1863855	5.365224e-06	4.124915e-06	2.603580e-06	9.923391e-06	NaN	9.923391e-06
ODF2	2723833	716933	0	7	4	0	2	5	1491084	3.353265e-06	3.196963e-06	2.569908e-06	5.579322e-06	NaN	5.579322e-06
ODF2L	2258830	504287	0	1	0	0	18	16	6552742	2.441726e-06	3.619101e-07	4.427071e-07	0	NaN	0
ODF3	776713	233996	0	0	1	0	50	33	15688407	2.103464e-06	9.894045e-07	0	4.273577e-06	NaN	4.273577e-06
ODF3B	759633	249795	0	0	0	0	50	26	24201506	1.074313e-06	0	0	0	NaN	0
ODF3L1	833077	239120	0	1	0	0	50	45	25223744	1.784033e-06	9.326644e-07	1.200369e-06	0	NaN	0
ODF3L2	836920	292922	0	1	0	0	4	1	1317722	7.588854e-07	8.850795e-07	1.194857e-06	0	NaN	0
ODF4	786534	215208	0	1	0	0	50	48	25960319	1.848976e-06	9.982610e-07	1.271401e-06	0	NaN	0
ODZ1	8364503	2299822	0	0	0	0	1	0	2643557	0	0	0	0	NaN	0
ODZ2	8388415	2384795	0	9	5	0	13	23	13302758	1.728965e-06	1.299520e-06	1.072908e-06	2.096616e-06	NaN	2.096616e-06
ODZ3	8198400	2313486	0	13	1	0	2	4	4350276	9.194819e-07	1.331826e-06	1.585675e-06	4.322481e-07	NaN	4.322481e-07
ODZ4	8383718	2415112	0	5	1	0	10	3	6805099	4.408459e-07	5.556157e-07	5.963941e-07	4.140595e-07	NaN	4.140595e-07
OFD1	3215310	790377	0	8	0	0	9	1	2835707	3.526457e-07	1.997161e-06	2.488096e-06	0	NaN	0
OGDH	3339140	927871	0	9	4	0	34	34	19577950	1.736648e-06	3.046629e-06	2.695305e-06	4.310944e-06	NaN	4.310944e-06
OGDHL	3127348	869372	0	11	3	0	35	34	16499707	2.060643e-06	3.502872e-06	3.517357e-06	3.450767e-06	NaN	3.450767e-06
OGFOD1	1737890	412909	0	3	1	0	16	13	5959212	2.181496e-06	1.859774e-06	1.726231e-06	2.421841e-06	NaN	2.421841e-06
OGFOD2	865102	278831	0	1	0	0	50	34	25491046	1.333802e-06	8.741771e-07	1.155933e-06	0	NaN	0
OGFR	2017148	621712	0	1	0	0	3	1	1593991	6.273561e-07	3.789515e-07	4.957494e-07	0	NaN	0
OGFRL1	1406538	361242	0	4	1	0	2	2	583282	3.428873e-06	2.828406e-06	2.843862e-06	2.768227e-06	NaN	2.768227e-06
OGG1	1793400	472689	0	1	1	0	26	27	14569667	1.853165e-06	8.825779e-07	5.576001e-07	2.115556e-06	NaN	2.115556e-06
OGN	930860	248941	0	2	0	0	50	43	23020424	1.867907e-06	1.695201e-06	2.148551e-06	0	NaN	0
OGT	3255448	875777	0	3	2	0	25	12	7978068	1.504124e-06	1.210295e-06	9.215322e-07	2.283686e-06	NaN	2.283686e-06
OIP5	694302	212646	0	1	1	0	13	13	5147912	2.525296e-06	2.205198e-06	1.440295e-06	4.702651e-06	NaN	4.702651e-06
OIT3	1668716	470554	0	3	0	0	6	5	3792187	1.318500e-06	1.402348e-06	1.797789e-06	0	NaN	0
OLA1	1266055	308294	0	2	1	0	23	13	6995541	1.858327e-06	1.905550e-06	1.579710e-06	3.243657e-06	NaN	3.243657e-06
OLAH	1003450	258335	0	2	2	0	3	7	827099	8.463316e-06	3.170112e-06	1.993124e-06	7.741886e-06	NaN	7.741886e-06
OLFM1	1454789	379603	0	3	2	0	10	18	6338815	2.839647e-06	2.725699e-06	2.062155e-06	5.268662e-06	NaN	5.268662e-06
OLFM2	1368962	407785	0	2	1	0	0	1	407785	2.452273e-06	1.688479e-06	1.460961e-06	2.452273e-06	NaN	2.452273e-06
OLFM3	1419348	370209	0	9	3	0	13	24	4328926	5.544100e-06	6.705570e-06	6.340940e-06	8.103531e-06	NaN	8.103531e-06
OLFM4	1547021	437248	0	7	1	0	50	38	20849983	1.822543e-06	4.031711e-06	4.524825e-06	2.287032e-06	NaN	2.287032e-06
OLFML1	1218231	340746	0	3	0	0	50	69	22563534	3.058032e-06	1.924339e-06	2.462587e-06	0	NaN	0
OLFML2A	1959503	585844	0	1	3	0	5	3	1614060	1.858667e-06	1.571495e-06	5.103335e-07	5.120817e-06	NaN	5.120817e-06
OLFML2B	2248582	673379	0	5	2	0	50	40	20542116	1.947219e-06	2.395651e-06	2.223624e-06	2.970096e-06	NaN	2.970096e-06
OLFML3	1201578	372771	0	1	0	0	50	34	26582031	1.279060e-06	6.351832e-07	8.322389e-07	0	NaN	0
OLIG1	749385	297192	0	0	1	0	50	47	18685947	2.515259e-06	9.554959e-07	0	3.364828e-06	NaN	3.364828e-06
OLIG2	922747	327509	0	1	0	0	7	4	2151653	1.859036e-06	7.998362e-07	1.083721e-06	0	NaN	0
OLIG3	794220	254919	0	3	2	0	12	20	5825988	3.432894e-06	4.765813e-06	3.777291e-06	7.845629e-06	NaN	7.845629e-06
OLR1	887306	191296	0	1	2	0	11	3	2462082	1.218481e-06	2.781378e-06	1.127007e-06	1.045500e-05	NaN	1.045500e-05
OMA1	1633702	424865	0	0	0	0	50	19	22168986	8.570532e-07	0	0	0	NaN	0
OMD	1312171	319823	0	4	1	0	50	47	23907730	1.965891e-06	3.063737e-06	3.048383e-06	3.126729e-06	NaN	3.126729e-06
OMG	1319857	380030	0	1	0	0	50	46	21862827	2.104028e-06	5.882744e-07	7.576578e-07	0	NaN	0
OMP	482510	146461	0	1	2	0	2	6	690032	8.695249e-06	4.769695e-06	2.072496e-06	1.365551e-05	NaN	1.365551e-05
ONECUT1	1380918	415044	0	5	1	0	50	57	23999962	2.375004e-06	3.340828e-06	3.620780e-06	2.409383e-06	NaN	2.409383e-06
ONECUT2	1477420	470981	0	3	1	0	50	44	20278230	2.169815e-06	2.052965e-06	2.030567e-06	2.123228e-06	NaN	2.123228e-06
ONECUT3	1396290	509838	0	0	0	0	50	94	48062266	1.955796e-06	0	0	0	NaN	0
OOEP	452620	134078	0	0	0	0	50	39	19073663	2.044704e-06	0	0	0	NaN	0
OPA1	3263988	794220	0	4	1	0	28	19	16592793	1.145075e-06	1.232071e-06	1.225495e-06	1.259097e-06	NaN	1.259097e-06
OPA3	918904	296765	0	2	1	0	50	30	24535847	1.222701e-06	2.467777e-06	2.176506e-06	3.369670e-06	NaN	3.369670e-06
OPALIN	463722	126819	0	1	0	0	50	53	25189584	2.104044e-06	1.693363e-06	2.156464e-06	0	NaN	0
OPCML	1120448	323239	0	4	4	0	6	13	1756251	7.402131e-06	5.541367e-06	3.570001e-06	1.237474e-05	NaN	1.237474e-05
OPHN1	2558584	650321	0	4	0	0	3	2	2125179	9.410972e-07	1.246531e-06	1.563365e-06	0	NaN	0
OPLAH	3834033	1257942	0	3	2	0	23	13	11483311	1.132078e-06	9.819373e-07	7.824659e-07	1.589898e-06	NaN	1.589898e-06
OPN1LW	1114043	316834	0	2	0	0	50	51	27755000	1.837507e-06	1.397744e-06	1.795263e-06	0	NaN	0
OPN1MW	2229794	631960	0	0	0	0	44	23	27702479	8.302506e-07	0	0	0	NaN	0
OPN1MW2	2229794	631960	0	0	0	0	33	24	15467221	1.551669e-06	0	0	0	NaN	0
OPN1SW	1062376	301889	0	1	0	0	47	34	20034840	1.697044e-06	7.329954e-07	9.412863e-07	0	NaN	0
OPN3	1189195	374906	0	1	2	0	0	2	374906	5.334671e-06	1.918035e-06	8.409050e-07	5.334671e-06	NaN	5.334671e-06
OPN4	1479982	454328	0	2	0	0	15	8	5550146	1.441404e-06	1.033960e-06	1.351368e-06	0	NaN	0
OPN5	1085861	311710	0	2	2	0	50	67	22081451	3.034221e-06	2.862109e-06	1.841856e-06	6.416220e-06	NaN	6.416220e-06
OPRD1	1085434	358253	0	2	0	0	50	40	24561894	1.628539e-06	1.385342e-06	1.842581e-06	0	NaN	0
OPRK1	1144787	334768	0	5	3	0	0	3	334768	8.961430e-06	5.407031e-06	4.367625e-06	8.961430e-06	NaN	8.961430e-06
OPRL1	1078175	362950	0	3	0	0	50	41	21960183	1.867015e-06	2.081707e-06	2.782480e-06	0	NaN	0
OPRM1	2205455	610183	0	3	0	0	50	7	27544489	2.541343e-07	1.065478e-06	1.360264e-06	0	NaN	0
OPTC	1006012	309575	0	1	1	0	28	16	10411541	1.536756e-06	1.520234e-06	9.940239e-07	3.230235e-06	NaN	3.230235e-06
OPTN	1838662	454328	0	0	0	0	50	15	15850667	9.463324e-07	0	0	0	NaN	0
OR10A2	889868	278404	0	2	1	0	50	83	34966603	2.373694e-06	2.567895e-06	2.247524e-06	3.591902e-06	NaN	3.591902e-06
OR10A3	928298	280966	0	4	1	0	50	58	24296727	2.387153e-06	4.134746e-06	4.308961e-06	3.559150e-06	NaN	3.559150e-06
OR10A4	928298	291214	0	1	1	0	50	61	25598650	2.382938e-06	1.640000e-06	1.077240e-06	3.433901e-06	NaN	3.433901e-06
OR10A5	938119	283955	0	3	1	0	50	66	26925339	2.451223e-06	3.273124e-06	3.197889e-06	3.521685e-06	NaN	3.521685e-06
OR10A6	930433	278831	0	3	0	0	50	55	26532926	2.072896e-06	2.480848e-06	3.224305e-06	0	NaN	0
OR10A7	937692	279258	0	5	1	0	38	34	18328975	1.854986e-06	4.930359e-06	5.332241e-06	3.580918e-06	NaN	3.580918e-06
OR10AD1	943670	278404	0	2	1	0	50	37	23806104	1.554223e-06	2.454843e-06	2.119385e-06	3.591902e-06	NaN	3.591902e-06
OR10AG1	900970	258335	0	6	1	0	50	118	21746256	5.426221e-06	6.038100e-06	6.659489e-06	3.870943e-06	NaN	3.870943e-06
OR10C1	889441	312137	0	2	5	0	3	5	941535	5.310477e-06	5.825673e-06	2.248603e-06	1.601861e-05	NaN	1.601861e-05
OR10G2	895846	298046	0	4	1	0	50	41	22534498	1.819433e-06	4.187984e-06	4.465053e-06	3.355187e-06	NaN	3.355187e-06
OR10G3	904813	300608	0	1	0	0	50	37	24015334	1.540682e-06	8.295857e-07	1.105201e-06	0	NaN	0
OR10G4	906521	289933	0	6	1	0	50	64	23520014	2.721087e-06	5.850622e-06	6.618710e-06	3.449073e-06	NaN	3.449073e-06
OR10G7	901824	297192	0	2	2	0	37	75	16814833	4.460348e-06	3.336069e-06	2.217728e-06	6.729656e-06	NaN	6.729656e-06
OR10G8	903959	295057	0	5	5	0	0	5	295057	1.694588e-05	8.340172e-06	5.531224e-06	1.694588e-05	NaN	1.694588e-05
OR10G9	906521	289933	0	1	4	0	0	4	289933	1.379629e-05	4.179016e-06	1.103118e-06	1.379629e-05	NaN	1.379629e-05
OR10H1	935557	295484	0	1	4	0	5	6	1203713	4.984577e-06	4.061603e-06	1.068882e-06	1.353711e-05	NaN	1.353711e-05
OR10H2	920185	299327	0	2	2	0	35	27	13552980	1.992182e-06	3.280001e-06	2.173476e-06	6.681656e-06	NaN	6.681656e-06
OR10H3	937692	277977	0	1	0	0	50	36	18495078	1.946464e-06	8.225923e-07	1.066448e-06	0	NaN	0
OR10H4	938119	278831	0	2	0	0	50	50	21134792	2.365767e-06	1.643453e-06	2.131926e-06	0	NaN	0
OR10H5	919331	293776	0	2	2	0	12	16	5064220	3.159420e-06	3.297318e-06	2.175495e-06	6.807908e-06	NaN	6.807908e-06
OR10J1	947513	291214	0	1	4	0	4	5	994483	5.027738e-06	4.036402e-06	1.055394e-06	1.373560e-05	NaN	1.373560e-05
OR10J3	968009	297619	0	2	0	0	50	63	25037999	2.516176e-06	1.580243e-06	2.066096e-06	0	NaN	0
OR10J5	912499	276269	0	2	1	0	50	67	26283558	2.549122e-06	2.523621e-06	2.191783e-06	3.619661e-06	NaN	3.619661e-06
OR10K1	908229	295911	0	3	2	0	12	19	5569788	3.411261e-06	4.152341e-06	3.303132e-06	6.758789e-06	NaN	6.758789e-06
OR10K2	912072	288225	0	6	3	0	12	20	4308003	4.642522e-06	7.498144e-06	6.578428e-06	1.040853e-05	NaN	1.040853e-05
OR10P1	893284	312137	0	0	2	0	15	21	8258180	2.542933e-06	1.659171e-06	0	6.407443e-06	NaN	6.407443e-06
